protein,ligand,job_id,rmsd_angstrom,confidence,confidence_score,vina_affinity,smina_affinity,affinity_diff,best_affinity,vina_output,smina_output
EGFR,azd3759,EGFR_azd3759,0.057,HIGH,1.0,-9.24,-9.2,0.04,-9.24,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/azd3759_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/azd3759_docked.pdbqt
EGFR,dabrafenib,EGFR_dabrafenib,0.232,HIGH,1.0,-9.5,-9.7,0.2,-9.7,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/dabrafenib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/dabrafenib_docked.pdbqt
EGFR,foretinib,EGFR_foretinib,0.093,HIGH,1.0,-10.1,-10.2,0.1,-10.2,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/foretinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/foretinib_docked.pdbqt
EGFR,gefitinib,EGFR_gefitinib,0.823,HIGH,1.0,-8.54,-8.5,0.04,-8.54,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/gefitinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/gefitinib_docked.pdbqt
EGFR,lapatinib,EGFR_lapatinib,0.346,HIGH,1.0,-9.22,-9.2,0.02,-9.22,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/lapatinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/lapatinib_docked.pdbqt
EGFR,motesanib,EGFR_motesanib,0.037,HIGH,1.0,-9.02,-9.0,0.02,-9.02,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/motesanib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/motesanib_docked.pdbqt
EGFR,osimertinib,EGFR_osimertinib,0.231,HIGH,1.0,-9.07,-9.0,0.07,-9.07,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/osimertinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/osimertinib_docked.pdbqt
EGFR,plx-4720,EGFR_plx-4720,0.068,HIGH,1.0,-8.78,-8.8,0.02,-8.8,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/plx-4720_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/plx-4720_docked.pdbqt
EGFR,sapitinib,EGFR_sapitinib,0.106,HIGH,1.0,-8.6,-8.6,0.0,-8.6,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/sapitinib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/sapitinib_docked.pdbqt
EGFR,sb590885,EGFR_sb590885,0.585,HIGH,1.0,-10.21,-10.5,0.29,-10.5,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/sb590885_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/sb590885_docked.pdbqt
EGFR,sorafenib,EGFR_sorafenib,0.041,HIGH,1.0,-9.28,-9.3,0.02,-9.3,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/VINA_RESULTS/EGFR/sorafenib_docked.pdbqt,/Users/favourigwezeke/Personal_System/Research/Dr. Charles Nnadi/CASPID/DATA/DOCKING/SMINA_RESULTS/EGFR/sorafenib_docked.pdbqt
